City,Latitude,Longitude,Population,Land Area,Water Area
"Kansas City, KS, USA",39.106667,-94.676392,156607,124.74,3.57
"Springfield, MA, USA",42.101391,-72.590279,155929,31.87,1.21
"Springfield, MO, USA",37.210388,-93.297256,169176,83.11,0.59
"Corona, CA, USA",33.866669,-117.566666,157136,39.94,0.02
"Pembroke Pines, FL, USA",26.012501,-80.313614,171178,32.68,2.08
"Elk Grove, CA, USA",38.438332,-121.381943,1761242,42.03,0.17
"Oceanside, CA, the US",33.211666,-117.325836,174068,41.26,0.9
"Newport News, VA, USA",37.070831,-76.484444,186247,68.99,50.63
"Sioux Falls, South Dakota, the US",43.536388,-96.731667,186247,68.99,50.63
"Vancouver, WA, USA",45.633331,-122.599998,190915,48.74,3.7
"Worcester, MA, USA",42.271389,-71.798889,206518114,37.36,1.08
"Tallahassee, FL, USA",30.455,-84.253334,196169,101.85,2.89
"Columbus, GA, USA",32.492222,-84.940277,206922,216.5,4.51
"Augusta, GA, USA",33.466667,-81.966667,202081,302.28,4.17
"Montgomery, AL, USA",32.361668,-86.279167,200603,159.86,2.41
"Aurora, IL, USA",41.763889,-88.290001,180542,44.97,0.94
"Amarillo, TX, USA",35.199165,-101.845276,200393,102.3,1.56
"Modesto, CA, USA",37.639492,-121.015099,218464,42.97,1.83
"Garland, TX, USA",32.907223,-96.635277,226876,57.13,0.12
"Irvine, CA, the US",33.669445,-117.823059,307670,65.61,0.31
"Aurora, CO, USA",39.710835,-104.8125,386261,160.13,0.575
"Arlington, TX, USA",32.705002,-97.12278,394266,95.84,3.6
"Kansas City, MO, USA",39.099724,-94.578331,508090,314.73,4.07
"Memphis, TN, USA",35.1175,-89.971107,633104,294.92,7.63
"Indianapolis, IN, USA",39.791,-86.148003,887642,361.64,6.29
"Columbus, OH, USA",39.983334,-82.98333,905748,220.4,5.86
"Austin, TX, the US",30.266666,-97.73333,964177,319.94,6.57
"Dallas, TX, the US",32.779167,-96.808891,1304379,339.604,43.87
"Redwood City, CA, USA",37.487846,-122.236115,84292,19.34,15.41
"Gastonia, NC, the USA",35.25528,-81.180275,80411,51.99,0.23
"New Braunfels, TX, the USA",29.700001,-98.116669,90403,45.18,0.39
"Palm Beach Gardens, FL,  USA",26.838619,-80.129967,59182,58.71,0.62
"Houston, TX, USA",29.749907,-95.358421,2304580,640.44,31.23
"Muncie, IN, USA",40.191891,-85.401695,65194,27.4,
"Richmond, VA, USA",37.54129,-77.434769,226610,59.92,2.65
"Fayetteville, AR, USA",36.082157,-94.171852,93949,54.42,1.38
"Yuma, AZ, USA",32.698437,-114.650398,95548,120.77,0.07
"Peoria, AZ, USA",33.580944,-112.237068,190985,176.08,3.17
"Tempe, AZ, USA",33.427204,-111.939896,180587,39.94,0.21
"Diamond Bar, CA, USA",34.028622,-117.810333,55072,14.87,0.01
"Auburn, AL, USA",32.609856,-85.480782,76143,61.04,1.03
"Hoover, AL, USA",33.405746,-86.811546,92606,48.07,0.97
"Decatur, AL, USA",34.603817,-86.985039,57938,54.36,6.5
"Bloomington, MN, USA",44.840797,-93.298279,89987,34.7,3.7
"Fargo, ND, USA",46.877186,-96.789803,125990,20.32,0.16
"Odessa, TX, USA",31.845682,-102.367645,114428,51.08,0.28
"Rogers, AR, USA",36.333412,-94.125809,69908,38.9,0.17
"McAllen, TX, USA",26.203407,-98.230011,142210,62.31,0.43
"Springfield, OH, USA",39.925751,-83.806694,58662,26.16,0.2
"Pasadena, TX, USA",29.691063,-95.209099,151950,43.68,1.06
"Novi, MI, USA",42.480591,-83.475494,66243,30.24,1.05
"Rochester, MN, USA",44.016369,-92.475395,121395,55.58,0.29
"Santa Clarita, CA, USA",34.391663,-118.542587,228673,70.75,0.06
"Overland Park, KS, USA",38.984764,-94.677658,197238,75.18,0.46
"St Cloud, MN, USA",45.56023,-94.172852,68881,40.17,1.06
"Monterey Park, CA, USA",34.062511,-118.122849,61259,7.67,0.06
"Sanford, FL, USA",28.807674,-81.274948,61051,23.58,3.6
"Albany, OR, USA",44.636513,-123.105927,56472,17.66,0.21
"Santee, CA, USA",32.838383,-116.973915,56472,17.66,0.21
"Bay Point, CA, USA",38.033878,-121.960709,56472,17.66,0.21
"Longmont, CO, USA",40.167206,-105.101929,98885,28.76,1.64
"Akron, OH, USA",41.081757,-81.511452,190469,61.93,0.34
"Hammond, IN, USA",41.58466,-87.50016,77879,22.73,
"Youngstown, OH, USA",41.10297,-80.647247,60068,33.93,0.64
"Rapid City, SD, USA",44.080544,-103.231018,74703,55.07,0.06
"Hillsboro, OR, USA",45.522896,-122.98983,106447,25.84,0.01
"Elkhart, IN, USA",41.681992,-85.976669,53923,27.51,0.96
"Providence, RI, USA",41.825226,-71.418884,190934,18.41,2.18
"Rancho Cucamonga, CA, USA",34.110489,-117.594429,174453,40.11,0.01
"Orange, CA, USA",33.787914,-117.853104,139911,25.66,0.15
"Madison, WI, USA",43.073051,-89.40123,269840,79.57,21.96
"Yonkers, NY, USA",40.93121,-73.89875,211569,18.01,2.26
"Indio, CA, USA",33.720577,-116.215561,89137,33.23,0.01
"Jersey City, NJ, USA",40.719074,-74.050552,292449,14.75,6.29
"Bradenton, FL, USA",27.498928,-82.574821,55698,14.34,3.16
"Long Beach, CA, USA",33.77005,-118.193741,466742,50.7,29.64
"Greenville, NC, USA",35.612659,-77.366356,87521,37.44,0.76
"Edison, NJ, USA",40.522964,-74.411674,107588,30.06,0.63
"Jonesboro, AR, USA",35.835575,-90.705025,81969,80.18,0.55
"Racine, WI, USA",42.722702,-87.784225,77816,15.47,0.18
"Las Cruces, NM, USA",32.346596,-106.78772,111385,76.93,0.1
"Alameda, CA, USA",37.765205,-122.241638,78280,10.45,12.53
"Walnut Creek, CA, USA",37.910076,-122.065186,70127,19.76,0.01
"Temecula, CA, USA",33.487007,-117.143784,110003,37.18,0.01
"Bozeman, MT, USA",45.676998,-111.042931,110003,37.18,0.01
"Yakima, WA, USA",46.60207,-120.505898,96968,27.81,0.46
"St Paul, MN, USA",44.949642,-93.093124,311527,51.97,4.13
"Kent, WA, USA",47.380932,-122.23484,136588,33.75,0.67
"Dearborn Heights, MI, USA",42.336983,-83.273262,63292,11.74,0.01
"Hesperia, CA, USA",34.426388,-117.30088,90173,72.69,0.1
"Oakland, CA, USA",37.804363,-122.271111,440646,55.93,22.1
"Lancaster, CA, USA",34.686787,-118.15416,173516,94.28,0.26
"Homestead, FL, USA",25.468721,-80.477554,80737,15.08,0.5
"Norfolk, VA, USA",36.850769,-76.285873,238005,53.27,43.13
"Santa Cruz, CA, USA",36.974117,-122.030792,62956,12.74,3.09
"Daly City, CA, USA",37.687923,-122.470207,104901,7.64,0.0
"Santa Barbara, CA, USA",34.42083,-119.698189,88665,19.5,22.5
"Cheektowaga, NY, USA",42.902615,-78.744576,88665,19.5,22.5
"Twin Falls, Idaho, USA",42.562786,-114.460503,51807,19.36,0.11
"Decatur, IL, USA",39.842468,-88.953148,70522,43.11,4.68
"Danbury, CT, USA",41.394966,-73.454079,86518,41.95,2.24
"Des Moines, Iowa, USA",41.619549,-93.598022,214133,88.18,2.52
"New Haven, CT, USA",41.308273,-72.927887,134023,18.69,1.44
"Fairbanks, AK, USA",64.835365,-147.776749,134023,18.69,1.44
"Nampa, Idaho, USA",43.565468,-116.560822,100200,32.82,0.15
"Grand Rapids, MI, USA",42.963795,-85.670006,202181,44.78,0.86
"Lexington, Kentucky, US",38.047989,-84.50164,322570,283.64,1.9
"Hamden, CT, USA",41.385826,-72.904243,61169,32.8,0.5
"Moscow, Idaho, USA",46.731705,-116.999939,61169,32.8,0.5
"Bellevue, WA, USA",47.610378,-122.200676,151854,33.46,4.04
"Lynchburg, VA, USA",37.412762,-79.146042,79009,48.97,0.55
"Franklin, TN, USA",35.925064,-86.868889,83454,44.52,0.21
"Portland, OR, USA",45.523064,-122.676483,652503,133.49,11.51
"Philadelphia, PA, USA",39.952583,-75.165222,1603797,134.36,8.34
"Miami, FL, USA",25.761681,-80.191788,442241,36.0,20.08
"Boston, MA, USA",42.361145,-71.057083,675647,48.34,41.27
"Phoenix, AZ, USA",33.448376,-112.074036,1608139,518.27,1.02
"Erie, PA, USA",42.129223,-80.08506,94831,19.13,0.24
"Victorville, CA, USA",34.536217,-117.292763,134810,73.72,0.29
"Wilmington, DE, USA",39.739071,-75.539787,70898,10.89,6.29
"Fontana, CA, USA",34.092232,-117.435051,212704,43.07,0.0
"Jacksonville, FL, USA",30.332184,-81.655647,949611,747.3,127.16
"Soulsbyville, CA, USA",37.984646,-120.263802,949611,747.3,127.16
"Corvallis, OR, USA",44.564568,-123.262047,59922,14.46,0.13
"Des Plaines, IL, USA",42.033363,-87.8834,60675,14.24,0.15
"Richmond, CA, USA",37.935757,-122.347748,103701,30.05,22.46
"Grifton, NC, USA",35.372662,-77.437462,103701,30.05,22.46
"Redmond, WA, USA",47.673988,-122.121513,73256,16.57,0.67
"San Leandro, Oakland, CA, USA",37.725685,-122.15683,73256,16.57,0.67
"Dothan, AL, USA",31.223812,-85.393356,71072,89.84,0.33
"Tampa, FL, USA",27.964157,-82.452606,384959,114.02,61.82
"Kenosha, WI, USA",42.588081,-87.822899,99986,28.36,0.09
"Springfield, OR, USA",44.046204,-123.023346,61851,15.87,0.0
"Revere, MA, USA",42.408428,-71.011993,62186,5.7,4.43
"New Haven, CT, USA",41.310726,-72.929916,134023,18.69,1.44
"Port Orange, FL, USA",29.138315,-80.995613,62596,26.83,2.03
"Manhattan, KS, USA",39.183609,-96.571671,62596,26.83,2.03
"Jeannette, PA, USA",40.328125,-79.615318,62596,26.83,2.03
"Baldwin Park, CA, USA",34.085285,-117.960899,62596,26.83,2.03
"Lakewood, CO, USA",39.71085,-105.081505,155984,43.473,1.174
"Fall River, MA, USA",41.696629,-71.149994,94000,33.12,7.12
"Mt Prospect, IL, USA",42.066418,-87.937294,94000,33.12,7.12
"Cary, NC, USA",35.791538,-78.78112,174721,59.94,1.11
"Toms River, NJ, USA",39.954639,-74.198456,95438,40.55,12.34
"Tigard, Portland, OR, USA",45.431767,-122.770454,95438,40.55,12.34
"Clarksville, TN, USA",36.531364,-87.353767,166722,99.58,0.7
"Kent, WA, USA",47.37801,-122.237381,136588,33.75,0.67
"North Las Vegas, NV, USA",36.201946,-115.120216,136588,33.75,0.67
"Canton, OH, USA",40.798946,-81.378448,70872,26.35,0.06
"Macon, GA, USA",32.838131,-83.634705,157346,249.38,5.52
"Bartlett, TN, USA",35.204441,-89.87381,57786,32.3,0.01
"San Bernardino, CA, USA",34.115784,-117.302399,57786,32.3,0.01
"Lynn, MA, USA",42.466763,-70.949493,101253,10.74,2.78
"Bellflower, CA, USA",33.88221,-118.117981,79190,15.842,0.132
"Westland, MI, USA",42.324268,-83.399017,79190,15.842,0.132
"Meridian, ID, USA",43.612343,-116.393707,117635,33.97,0.06
"Roswell, GA, USA",34.022003,-84.361549,92833,40.73,1.27
"Johns Creek, GA, USA",34.028927,-84.198578,82453,30.81,0.53
"Hanford, CA, US",36.327728,-119.645912,53967,17.4,0.0
"Saint Charles, MO, USA",38.788105,-90.497437,70493,25.17,
"Carrollton, TX, USA",32.974586,-96.8899,119097,36.66,0.77
"Stamford, CT, USA",41.053429,-73.538734,135470,37.62,14.41
"Ames, IA, USA",42.034534,-93.620369,66427,27.58,0.34
"Inglewood, CA, USA",33.961018,-118.35537,107762,9.07,0.03
"Las Cruces, NM, USA",32.326595,-106.775436,111385,76.93,0.1
"Rochester Hills, MI, USA",42.658516,-83.152725,76300,32.8,0.1
"Centennial, CO, USA",39.579231,-104.876694,108418,29.721,0.146
"North Richland Hills, TX, USA",32.834293,-97.228905,69917,18.43,0.04
"Lowell, MA, USA",42.640999,-71.316711,115554,13.61,0.92
"Round Rock, TX, USA",30.508255,-97.678894,119468,37.64,0.36
"Torrance, CA, USA",33.840763,-118.345413,147067,20.5,0.03
"Champaign, IL, USA",40.116421,-88.243385,88302,22.99,0.15
"Gary, IN, USA",41.595161,-87.356934,69093,49.87,0.73
"Port Charlotte, FL, USA",26.979605,-82.075424,60625,28.48,3.86
"Great Falls, MT, USA",47.506187,-111.283691,60442,23.11,0.48
"Syracuse, NY, USA",43.088947,-76.15448,148620,25.06,0.58
"Valdosta, GA, USA",30.832703,-83.278488,5537814778,35.99,0.44
"The Villages, FL, USA",28.927019,-82.003761,79077,32.65,1.3
"Casa Grande, AZ, USA",32.881893,-111.768036,79077,32.65,1.3
"Roseville, CA, USA",38.752125,-121.28801,118788,44.08,0.0
"Eau Claire, WI, USA",44.811348,-91.498497,69421,32.86,2.09
"Lake Charles, LA, USA",30.212942,-93.21891,84872,45.73,2.87
"Beaverton, OR, USA",45.485168,-122.804489,97494,19.61,0.0
"Mission Viejo, CA, USA",33.600021,-117.671997,93653,17.66,0.37
"Madera, CA, USA",36.95953,-120.062866,66224,16.48,0.0
"Bend, OR, USA",44.058174,-121.315308,99178,34.65,0.24
"Greenville, SC, USA",34.852619,-82.394012,70720,29.8,0.23
"Vacaville, CA, USA",38.356579,-121.987747,102386,29.19,0.23
"Elgin, IL, USA",42.035408,-88.28257,102386,29.19,0.23
"Encinitas, CA, USA",33.039139,-117.295425,59518,19.06,1.1
"Ocala, FL, USA",29.187199,-82.140091,63591,47.26,0.01
"Fremont, CA, USA",37.548271,-121.988571,63591,47.26,0.01
"Gainesville, FL, USA",29.651634,-82.324829,141085,63.36,1.17
"Fayetteville, NC, USA",35.052666,-78.878357,208501,148.26,1.82
"O'Fallon, MO, USA",38.810608,-90.699844,91316,30.5,0.0
"West Covina, CA, USA",34.068623,-117.93895,91316,30.5,0.0
"Pico Rivera, CA, USA",33.98307,-118.096733,62088,8.29,0.59
"Joplin, Missouri, USA",37.084229,-94.513283,51762,38.08,0.13
"Rock Hill, SC, USA",34.924866,-81.025078,74372,43.69,0.16
"Lee's Summit, MO, USA",38.910843,-94.382172,101108,63.9,2.02
"Dearborn, MI, USA",42.322262,-83.176315,109976,24.25,0.27
"Newark, NJ, USA",40.735657,-74.172363,311549,24.14,1.74
"Pontiac, MI, USA",42.638924,-83.291046,61606,19.89,0.37
"Chattanooga, TN, USA",35.045631,-85.309677,181099,142.35,
"Palmdale, CA, USA",34.579449,-118.109291,181099,142.35,
"Redondo Beach, CA, USA",33.849182,-118.388405,181099,142.35,
"Tuscaloosa, AL, USA",33.189281,-87.565155,1006181,61.94,10.07
"Davie, FL, USA",26.076477,-80.252113,105691,34.89,0.87
"Victoria, TX, USA",28.798952,-97.028503,65534,37.37,0.2
"Casas Adobes, AZ, USA",32.319054,-111.001053,65534,37.37,0.2
"Battle Creek, MI, USA",42.321152,-85.17971,52721,42.59,1.15
"Eugene, OR, USA",44.052071,-123.086754,176654,44.22,0.07
"Castle Rock, CO, USA",39.374912,-104.853859,73158,34.29,0.0
"Old Bridge Township, NJ, USA",40.402714,-74.305428,66876,38.18,2.75
"Huntington Beach, CA, USA",33.660057,-117.99897,198711,27.0,1.33
"Havertown, PA, USA",39.981461,-75.309387,198711,27.0,1.33
"Virginia Beach, VA, USA",36.86314,-76.015778,457672,244.72,252.78
"Warren, MI, USA",42.491943,-83.023888,139387,34.38,0.06
"White Plains, NY, USA",41.033985,-73.762909,59559,9.74,0.12
"Lansing, MI, USA",42.732536,-84.555534,112644,39.14,0.64
"Bismarck, ND, USA",46.825905,-100.778275,112644,39.14,0.64
"Kissimmee, FL, USA",28.291956,-81.40757,79226,21.5,0.7
"Eden Prairie, MN, USA",44.852463,-93.475113,79226,21.5,0.7
"Louisville, KY, USA",38.328732,-85.764771,633045,324.94,16.5
"Nashua, NH, USA",42.765366,-71.467567,91322,30.83,0.9
"Greece, NY, USA",43.209785,-77.693062,96095,47.52,3.87
"Bolingbrook, IL, USA",41.698643,-88.068398,73922,24.92,0.21
"Midland, TX, USA",32.000507,-102.077408,132524,75.45,0.17
"El Cajon, CA, USA",32.794773,-116.962524,106215,14.51,0.0
"Chula Vista, CA, USA",32.639954,-117.106705,275487,49.64,2.46
"Raleigh, NC, USA",35.787743,-78.644257,467665,148.54,1.07
"Olympia, WA, USA",47.037872,-122.900696,55605,18.23,1.87
"Alhambra, CA, USA",34.095287,-118.127014,82868,7.63,0.0
"Sandy Springs, GA, USA",33.935101,-84.360924,82868,7.63,0.0
"Frederick, MD, USA",39.412327,-77.425461,78171,23.85,0.1
"Erie, PA, USA",42.129223,-80.08506,94831,19.13,0.24
"Mountain View, CA, USA",37.386051,-122.083855,82376,11.96,0.28
"Eagle, ID, USA",43.695442,-116.354012,82376,11.96,0.28
"Sugar Land, TX, USA",29.619678,-95.634949,111026,40.47,2.44
"Jackson, MS, USA",32.298756,-90.184807,153701,111.72,2.14
"Harrisburg, PA, USA",40.26368,-76.890739,50099,8.12,
"Edina, MN, USA",44.889687,-93.349953,53494,15.46,0.51
"Metairie, LA, USA",29.984093,-90.152855,143507,23.26,0.04
"Rancho Cordova, CA, USA",38.589073,-121.302727,143507,23.26,0.04
"Mobile, AL, USA",30.695366,-88.039894,187041,139.48,
"San Diego, CA, USA",32.715736,-117.161087,1386932,325.88,46.54
"North Charleston, SC, USA",32.854622,-79.974808,114852,77.63,3.43
"Gulfport, MS, USA",30.36742,-89.092819,72926,55.62,8.39
"Cherry Hill, NJ, USA",39.926811,-75.024628,74553,24.07,0.12
"Cincinnati, OH, USA",39.103119,-84.512016,309317,77.91,1.72
"Glendale, CA, USA",34.142509,-118.255074,196543,30.47,0.13
"Reading, PA, USA",40.335648,-75.926872,95112,9.84,0.24
"Burien, WA, USA",47.470379,-122.346794,95112,9.84,0.24
"Largo, FL, USA",27.909468,-82.787323,82485,18.6,0.99
"Palm Harbor, FL, USA",28.078072,-82.76371,61366,17.36,10.74
"Turlock, CA, USA",37.494656,-120.846596,72740,16.91,0.03
"Flagstaff, AZ, USA",35.198284,-111.651299,76831,66.03,0.05
"Napa, CA, USA",38.297539,-122.286865,77480,17.97,0.31
"Greenwich, CT, USA",41.027054,-73.620071,63518,47.8,19.4
"Flower Mound, TX, USA",33.014568,-97.096954,75956,41.96,2.52
"Plano, TX, USA",33.019844,-96.698883,285494,71.69,0.36
"Atlanta, GA, USA",33.753746,-84.38633,498715,135.32,0.99
"Marietta, GA, USA",33.952602,-84.549934,60972,23.45,0.08
"Omaha, NE, USA",41.25716,-95.995102,486051,142.67,3.61
"Burbank, CA, USA",34.18084,-118.308968,107337,17.32,0.04
"La Crosse, WI, USA",43.801357,-91.239578,107337,17.32,0.04
"Arden-Arcade, CA, USA",38.600807,-121.377037,94659,15.9,0.23
"Petaluma, CA, USA",38.244923,-122.626991,59776,14.41,0.11
"Weston, FL, USA",26.103039,-80.401382,68107,24.59,1.51
"Novato, CA, USA",38.108086,-122.57515,68107,24.59,1.51
"Auburn, WA, USA",47.307323,-122.228455,87256,29.58,0.29
"Murray, UT, USA",40.666893,-111.887993,50637,12.32,0.0
"Lehi, UT, USA",40.391617,-111.850769,75907,28.09,0.36
"Clovis, CA, USA",36.82523,-119.702919,120124,25.79,0.12
"St. Petersburg, FL, USA",27.773056,-82.639999,258308,61.87,73.63
"Doral, FL, USA",25.819542,-80.355331,75874,13.83,1.24
"Cheyenne, WY, USA",41.161079,-104.80545,65132,32.26,0.11
"Dublin, CA, USA",37.702152,-121.935791,72589,15.23,0.0
"Hayward, CA, USA",37.668819,-122.080795,162954,45.77,18.29
"Livermore, CA, USA",37.681873,-121.768005,87955,26.45,0.0
"St. George, UT, USA",37.095169,-113.575974,95342,78.46,0.0
"Brownsville, TX, USA",25.901747,-97.497482,186738,131.53,13.66
"Centreville, VA, USA",38.840389,-77.428879,73518,11.94,0.11
"Tracy, CA, USA",37.739651,-121.425224,93000,25.9,0.14
"Fort Collins, CO, USA",40.585258,-105.084419,169810,57.212,1.261
"Port Arthur, TX, USA",29.884951,-93.939949,56039,77.15,67.02
"Moab, UT, USA",38.573315,-109.549843,53661,4.8,0.0
"Henderson, NV, USA",36.039524,-114.98172,53661,4.8,0.0
"Allen, TX, USA",33.103172,-96.670547,104627,26.4,0.09
"Redding, CA, USA",40.58654,-122.391678,93611,59.65,1.53
"Chico, CA, USA",39.728493,-121.837479,101475,34.45,0.17
"Flint, MI, USA",43.016193,-83.705521,81252,33.44,0.67
"Quincy, MA, USA",42.255459,-71.002579,101636,16.57,10.33
"Killeen, TX, USA",31.117119,-97.727798,153095,54.85,0.65
"Scranton, PA, USA",41.40897,-75.662415,76328,25.31,0.23
"Little Rock, AR, USA",34.746483,-92.289597,204405,120.05,2.96
"Scranton, PA, USA",41.414925,-75.669708,76328,25.31,0.23
"Dayton, OH, USA",39.758949,-84.191605,137644,55.81,1.15
"Norwalk, CA, USA",33.902237,-118.081734,105549,9.71,0.04
"Northside, Jacksonville, FL, USA",30.49015,-81.647346,156001,9.71,0.04
"Deerfield Beach, FL, USA",26.329422,-80.088615,86859,14.95,1.27
"Hempstead, NY, USA",40.706928,-73.621788,793409,118.68,73.08
"Provo, UT, USA",40.233845,-111.658531,115162,41.69,2.5
"Birmingham, AL, USA",33.543682,-86.779633,200733,147.02,2.52
"Concord, CA, USA",37.989128,-122.043686,125410,30.55,0.0
"Minneapolis, MN, USA",44.986656,-93.258133,429954,54.0,3.51
"Wilmington, NC, USA",34.225727,-77.94471,115451,51.41,1.56
"Commerce City, CO, USA",39.813019,-104.93351,62418,36.002,0.397
"La Habra, CA, USA",33.931957,-117.946175,60239,7.55,0.01
"Norman, OK, USA",35.222569,-97.439476,128026,178.65,10.54
